Time (s),Temp (°C),Error,Control Input
0,20.0000,5.0000,4.0000
1.0000,19.9733,5.0267,4.0213
2.0000,19.9467,5.0533,4.0426
3.0000,19.9202,5.0798,4.0638
4.0000,19.8938,5.1062,4.0850
5.0000,19.8675,5.1325,4.1060
6.0000,19.8412,5.1588,4.1270
7.0000,19.8150,5.1850,4.1480
8.0000,19.7889,5.2111,4.1689
9.0000,19.7629,5.2371,4.1897
10.0000,19.7369,5.2631,4.2105
11.0000,19.7110,5.2890,4.2312
12.0000,19.6852,5.3148,4.2518
13.0000,19.6595,5.3405,4.2724
14.0000,19.6339,5.3661,4.2929
15.0000,19.6083,5.3917,4.3134
16.0000,19.5828,5.4172,4.3338
17.0000,19.5574,5.4426,4.3541
18.0000,19.5320,5.4680,4.3744
19.0000,19.5068,5.4932,4.3946
20.0000,19.4816,5.5184,4.4147
21.0000,19.4565,5.5435,4.4348
22.0000,19.4314,5.5686,4.4548
23.0000,19.4065,5.5935,4.4748
24.0000,19.3816,5.6184,4.4947
25.0000,19.3568,5.6432,4.5146
26.0000,19.3321,5.6679,4.5344
27.0000,19.3074,5.6926,4.5541
28.0000,19.2828,5.7172,4.5738
29.0000,19.2583,5.7417,4.5934
30.0000,19.2338,5.7662,4.6129
31.0000,19.2095,5.7905,4.6324
32.0000,19.1852,5.8148,4.6519
33.0000,19.1610,5.8390,4.6712
34.0000,19.1368,5.8632,4.6906
35.0000,19.1127,5.8873,4.7098
36.0000,19.0887,5.9113,4.7290
37.0000,19.0648,5.9352,4.7482
38.0000,19.0409,5.9591,4.7673
39.0000,19.0171,5.9829,4.7863
40.0000,18.9934,6.0066,4.8053
41.0000,18.9698,6.0302,4.8242
42.0000,18.9462,6.0538,4.8430
43.0000,18.9227,6.0773,4.8618
44.0000,18.8993,6.1007,4.8806
45.0000,18.8759,6.1241,4.8993
46.0000,18.8526,6.1474,4.9179
47.0000,18.8294,6.1706,4.9365
48.0000,18.8062,6.1938,4.9550
49.0000,18.7831,6.2169,4.9735
50.0000,18.7601,6.2399,4.9919
51.0000,18.7372,6.2628,5.0103
52.0000,18.7143,6.2857,5.0286
53.0000,18.6915,6.3085,5.0468
54.0000,18.6687,6.3313,5.0650
55.0000,18.6461,6.3539,5.0831
56.0000,18.6235,6.3765,5.1012
57.0000,18.6009,6.3991,5.1193
58.0000,18.5785,6.4215,5.1372
59.0000,18.5561,6.4439,5.1552
60.0000,18.5337,6.4663,5.1730
61.0000,18.5115,6.4885,5.1908
62.0000,18.4893,6.5107,5.2086
63.0000,18.4671,6.5329,5.2263
64.0000,18.4451,6.5549,5.2440
65.0000,18.4231,6.5769,5.2616
66.0000,18.4011,6.5989,5.2791
67.0000,18.3792,6.6208,5.2966
68.0000,18.3574,6.6426,5.3140
69.0000,18.3357,6.6643,5.3314
70.0000,18.3140,6.6860,5.3488
71.0000,18.2924,6.7076,5.3661
72.0000,18.2709,6.7291,5.3833
73.0000,18.2494,6.7506,5.4005
74.0000,18.2280,6.7720,5.4176
75.0000,18.2066,6.7934,5.4347
76.0000,18.1853,6.8147,5.4517
77.0000,18.1641,6.8359,5.4687
78.0000,18.1430,6.8570,5.4856
79.0000,18.1219,6.8781,5.5025
80.0000,18.1008,6.8992,5.5193
81.0000,18.0799,6.9201,5.5361
82.0000,18.0590,6.9410,5.5528
83.0000,18.0381,6.9619,5.5695
84.0000,18.0173,6.9827,5.5861
85.0000,17.9966,7.0034,5.6027
86.0000,17.9760,7.0240,5.6192
87.0000,17.9554,7.0446,5.6357
88.0000,17.9348,7.0652,5.6521
89.0000,17.9144,7.0856,5.6685
90.0000,17.8940,7.1060,5.6848
91.0000,17.8736,7.1264,5.7011
92.0000,17.8533,7.1467,5.7173
93.0000,17.8331,7.1669,5.7335
94.0000,17.8129,7.1871,5.7497
95.0000,17.7928,7.2072,5.7657
96.0000,17.7728,7.2272,5.7818
97.0000,17.7528,7.2472,5.7978
98.0000,17.7329,7.2671,5.8137
